City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Snow,Rain,Country,Current Description,Date
24,Bredasdorp,-34.53,20.04,64.99,77,28,18.34,0.0,0.0,ZA,scattered clouds,2019-11-09 18:22:49
25,Port Alfred,-33.59,26.89,66.0,78,100,8.99,0.0,0.0,ZA,overcast clouds,2019-11-09 18:27:26
26,Busselton,-33.64,115.35,66.99,63,0,18.77,0.0,0.0,AU,clear sky,2019-11-09 18:27:26
27,Qaanaaq,77.48,-69.36,-5.57,48,0,5.41,0.0,0.0,GL,clear sky,2019-11-09 18:27:26
28,Sitka,37.17,-99.65,73.99,20,0,3.0,0.0,0.0,US,clear sky,2019-11-09 18:27:26
29,Rikitea,-23.12,-134.97,73.42,77,100,8.66,0.0,0.12,PF,light rain,2019-11-09 18:22:38
30,Yuma,32.73,-114.62,84.0,15,1,13.87,0.0,0.0,US,clear sky,2019-11-09 18:27:27
31,Luanda,-8.83,13.24,82.4,78,40,12.75,0.0,0.0,AO,scattered clouds,2019-11-09 18:24:10
32,Saint-Philippe,45.36,-73.48,36.0,65,90,11.41,0.0,0.0,CA,overcast clouds,2019-11-09 18:22:45
33,Atuona,-9.8,-139.03,79.32,75,8,13.47,0.0,0.0,PF,clear sky,2019-11-09 18:27:27
34,Te Anau,-45.41,167.72,41.49,98,100,5.35,0.0,4.81,NZ,moderate rain,2019-11-09 18:22:59
35,Marrakesh,31.63,-7.99,64.4,24,61,5.82,0.0,0.0,MA,broken clouds,2019-11-09 18:27:28
36,Mbaiki,3.87,17.99,73.09,92,38,3.49,0.0,3.06,CF,moderate rain,2019-11-09 18:27:28
37,Makakilo City,21.35,-158.09,77.0,73,75,3.36,0.0,0.0,US,broken clouds,2019-11-09 18:27:28
38,East London,-33.02,27.91,64.4,77,40,11.41,0.0,0.0,ZA,scattered clouds,2019-11-09 18:23:59
39,Cherskiy,68.75,161.3,-0.68,84,47,3.33,0.0,0.0,RU,scattered clouds,2019-11-09 18:23:15
40,Lyman,48.98,37.82,50.05,91,6,7.78,0.0,0.0,UA,clear sky,2019-11-09 18:27:29
41,Saskylakh,71.97,114.09,-6.99,98,100,8.08,0.56,0.0,RU,light snow,2019-11-09 18:27:29
42,Yellowknife,62.45,-114.38,-9.01,69,20,6.93,0.0,0.0,CA,few clouds,2019-11-09 18:26:21
43,Chuy,-33.69,-53.46,72.0,71,86,8.77,0.0,0.0,UY,overcast clouds,2019-11-09 18:22:42
44,New Norfolk,-42.78,147.06,48.99,66,40,10.29,0.0,0.0,AU,scattered clouds,2019-11-09 18:27:30
45,Broken Hill,-31.97,141.45,53.6,58,0,12.75,0.0,0.0,AU,clear sky,2019-11-09 18:27:31
46,Ribas Do Rio Pardo,-20.45,-53.76,87.55,47,98,15.68,0.0,0.0,BR,overcast clouds,2019-11-09 18:27:31
47,Ancud,-41.87,-73.83,66.2,52,81,6.93,0.0,0.0,CL,broken clouds,2019-11-09 18:27:31
48,Vanavara,60.35,102.28,2.28,92,100,9.53,0.0,0.0,RU,overcast clouds,2019-11-09 18:27:31
49,Coquimbo,-29.95,-71.34,60.8,77,90,10.29,0.0,0.0,CL,overcast clouds,2019-11-09 18:23:19
50,Sao Filipe,14.9,-24.5,73.33,86,65,19.91,0.0,0.0,CV,broken clouds,2019-11-09 18:27:32
51,Kodiak,39.95,-94.76,60.01,51,1,5.82,0.0,0.0,US,clear sky,2019-11-09 18:22:46
52,Yurkivka,48.69,28.58,57.99,100,19,6.71,0.0,0.0,UA,fog,2019-11-09 18:27:32
53,Guymon,36.68,-101.48,75.2,16,1,6.93,0.0,0.0,US,clear sky,2019-11-09 18:27:33
54,Inhambane,-23.87,35.38,75.2,83,75,4.7,0.0,0.0,MZ,broken clouds,2019-11-09 18:27:33
55,Thompson,55.74,-97.86,5.0,71,40,5.82,0.0,0.0,CA,scattered clouds,2019-11-09 18:24:14
56,Ponta Do Sol,-20.63,-46.0,86.07,49,0,7.29,0.0,0.0,BR,clear sky,2019-11-09 18:23:38
57,Richards Bay,-28.77,32.06,69.26,74,81,12.71,0.0,0.19,ZA,light rain,2019-11-09 18:23:31
58,Hermanus,-34.42,19.24,71.01,80,6,11.01,0.0,0.0,ZA,clear sky,2019-11-09 18:27:34
